Drug A,Drug B,Cell Line Name,Score
Docetaxel,Nilotinib,HS 578T,12.555555555555555
Romidepsin,Docetaxel,SK-MEL-28,4.444444444444445
Fulvestrant,Dasatinib,SF-539,8.444444444444445
Everolimus,Celecoxib,SF-268,-5.777777777777778
Thalidomide,Mitotane,A498,-3.7777777777777777
Vorinostat,Docetaxel,NCI-H226,-3.111111111111111
Dasatinib,Docetaxel,A498,-0.4444444444444444
Romidepsin,Celecoxib,PC-3,6.222222222222222
Fulvestrant,Vorinostat,SF-295,-0.7777777777777778
Everolimus,Nilotinib,U251,-8.11111111111111
Fulvestrant,Tretinoin,PC-3,0.0
Vorinostat,Paclitaxel,OVCAR-5,-7.222222222222222
Sirolimus,Nilotinib,ACHN,-5.333333333333333
Docetaxel,Fulvestrant,PC-3,-3.2222222222222223
Nilotinib,Tretinoin,MDA-MB-468,1.4444444444444444
Dasatinib,Romidepsin,RXF 393,-15.333333333333334
Everolimus,Docetaxel,SK-MEL-28,-1.3333333333333333
Fulvestrant,Cladribine,NCI-H226,-11.88888888888889
Mitotane,Sirolimus,KM12,6.222222222222222
Fulvestrant,Dasatinib,IGROV1,7.333333333333333
Docetaxel,Cladribine,BT-549,0.8888888888888888
Tretinoin,Cladribine,SK-MEL-5,-1.1111111111111112
Everolimus,Cladribine,SF-268,-5.777777777777778
Dasatinib,Romidepsin,HS 578T,-8.88888888888889
Docetaxel,Sirolimus,NCI-H322M,0.7777777777777778
Fulvestrant,Cladribine,BT-549,-3.111111111111111
Romidepsin,Cladribine,BT-549,1.8888888888888888
Mitotane,Docetaxel,NCI-H226,15.333333333333334
Mitotane,Tretinoin,UACC-62,0.2222222222222222
Sirolimus,Celecoxib,NCI-H460,-1.4444444444444444
Docetaxel,Fulvestrant,OVCAR-8,14.88888888888889
Fulvestrant,Paclitaxel,U251,-1.6666666666666667
Dasatinib,Cladribine,HS 578T,1.3333333333333333
Fulvestrant,Celecoxib,SW-620,-5.555555555555555
Vorinostat,Celecoxib,NCI-H460,-6.444444444444445
Everolimus,Cladribine,PC-3,-2.333333333333333
Nilotinib,Cladribine,RXF 393,-7.111111111111111
