Drug A,Drug B,Cell Line Name,Score
Dasatinib,Nilotinib,PC-3,-3.555555555555556
Everolimus,Nilotinib,NCI-H226,-6.444444444444445
Everolimus,Tretinoin,OVCAR-4,0.5555555555555556
Dasatinib,Romidepsin,UO-31,-0.1111111111111111
Fulvestrant,Dasatinib,HCT-15,-3.0
Fulvestrant,Dasatinib,HT29,7.777777777777778
Dasatinib,Nilotinib,SF-539,-4.0
Docetaxel,Sirolimus,IGROV1,-8.666666666666666
Sirolimus,Cladribine,NCI-H460,-2.2222222222222223
Everolimus,Nilotinib,T-47D,-11.22222222222222
Everolimus,Romidepsin,OVCAR-5,-1.2222222222222223
Everolimus,Cladribine,DU-145,-6.0
Mitotane,Cladribine,BT-549,-7.0
Fulvestrant,Vorinostat,UO-31,-0.4444444444444444
Vorinostat,Celecoxib,SF-268,-9.666666666666666
Dasatinib,Nilotinib,RXF 393,-10.0
Paclitaxel,Celecoxib,BT-549,27.88888888888889
Vorinostat,Docetaxel,OVCAR-4,-0.8888888888888888
Vorinostat,Paclitaxel,UO-31,-3.4444444444444446
Vorinostat,Romidepsin,HCC-2998,-6.666666666666667
Mitotane,Paclitaxel,HOP-92,0.6666666666666666
Megestrol acetate,Gefitinib,CAKI-1,-18.88888888888889
Fulvestrant,Cladribine,RXF 393,-3.6666666666666665
Fulvestrant,Romidepsin,M14,-2.555555555555556
Fulvestrant,Nilotinib,HCC-2998,3.4444444444444446
Fulvestrant,Tretinoin,COLO 205,-3.111111111111111
Docetaxel,Celecoxib,OVCAR-5,22.444444444444443
Vorinostat,Tretinoin,A498,-2.7777777777777777
Fulvestrant,Everolimus,NCI-H226,-10.22222222222222
Dasatinib,Docetaxel,MDA-MB-468,-1.0
Sirolimus,Cladribine,SNB-75,-1.3333333333333333
Dasatinib,Romidepsin,HCT-116,-2.4444444444444446
Fulvestrant,Vorinostat,T-47D,2.333333333333333
Paclitaxel,Cladribine,SK-MEL-28,-10.22222222222222
Mitotane,Docetaxel,786-0,2.888888888888889
Paclitaxel,Nilotinib,SK-MEL-28,-10.11111111111111
Vorinostat,Cladribine,SF-539,-2.2222222222222223
Dasatinib,Nilotinib,A549/ATCC,-3.0
Fulvestrant,Celecoxib,HOP-92,-4.888888888888889
Vorinostat,Sirolimus,T-47D,-8.0
Mitotane,Sirolimus,UACC-62,-2.555555555555556
Everolimus,Cladribine,BT-549,-2.555555555555556
Mitotane,Everolimus,NCI-H322M,2.888888888888889
Streptozocin,Mitotane,MDA-MB-231/ATCC,-2.6666666666666665
Fulvestrant,Celecoxib,ACHN,-5.111111111111111
Dasatinib,Paclitaxel,MCF7,-9.333333333333334
Mitotane,Cladribine,A549/ATCC,-13.0
Thalidomide,Sirolimus,786-0,1.3333333333333333
Vorinostat,Docetaxel,KM12,1.0
Thalidomide,Cladribine,CAKI-1,-8.666666666666666
Sirolimus,Celecoxib,MDA-MB-468,20.11111111111111
Fulvestrant,Nilotinib,CCRF-CEM,-17.666666666666668
Mitotane,Cladribine,A498,0.4444444444444444
Gefitinib,Lenalidomide,RPMI-8226,7.555555555555555
Romidepsin,Tretinoin,SNB-75,1.6666666666666667
Vorinostat,Nilotinib,IGROV1,-5.444444444444445
Everolimus,Dasatinib,UACC-62,1.5555555555555556
